1498438439 1   1 
1498438439 2   -1 
1498438439 3   1 
1498438439 4   -1 
1498438439 5   -1 
1498438439 6   1 
1498438439 7   -1 
1498438439 8   1 
1498438439 9   -1 
1498438439 10   1 
1498438439 11   -1 
1498438439 12   1 
1498438439 13   1 
1498438439 14   -1 
1498438439 15   1 
1498438439 16   -1 
1498438439 17   -1 
1498438439 18   1 
1498438439 19   -1 
1498438439 20   1 
1498438439 21   1 
1498438439 22   -1 
1498438439 23   1 
1498438439 24   -1 
1498438439 25   1 
1498438439 26   -1 
1498438439 27   1 
1498438439 28   -1 
1498438439 29   -1 
1498438439 30   1 
1498438439 31   -1 
1498438439 32   1 
1498438439 33   -1 
1498438439 34   1 
1498438439 35   -1 
1498438439 36   1 
1498438439 37   1 
1498438439 38   -1 
1498438439 39   1 
1498438439 40   -1 
1498438439 41   -1 
1498438439 42   1 
1498438439 43   -1 
1498438439 44   1 
1498438439 45   1 
1498438439 46   -1 
1498438439 47   1 
1498438439 48   -1 
1498438439 49   1 
1498438439 50   -1 
1498438439 51   1 
1498438439 52   -1 
1498438439 53   -1 
1498438439 54   1 
1498438439 55   -1 
1498438439 56   1 
1498438439 57   -1 
1498438439 58   1 
1498438439 59   -1 
1498438439 60   1 
1498438439 61   1 
1498438439 62   -1 
1498438439 63   1 
1498438439 64   -1 
1498438439 65   -1 
1498438439 66   1 
1498438439 67   -1 
1498438439 68   1 
1498438439 69   1 
1498438439 70   -1 
1498438439 71   1 
1498438439 72   -1 
1498438439 73   1 
1498438439 74   -1 
1498438439 75   1 
1498438439 76   -1 
1498438439 77   -1 
1498438439 78   1 
1498438439 79   -1 
1498438439 80   1 
1498438439 81   -1 
1498438439 82   1 
1498438439 83   -1 
1498438439 84   1 
1498438439 85   1 
1498438439 86   -1 
1498438439 87   1 
1498438439 88   -1 
1498438439 89   -1 
1498438439 90   1 
1498438439 91   -1 
1498438439 92   1 
1498438439 93   1 
1498438439 94   -1 
1498438439 95   1 
1498438439 96   -1 
1498438439 97   1 
1498438439 98   -1 
1498438439 99   1 
1498438439 100   -1 
1498438439 101   -1 
1498438439 102   1 
1498438439 103   -1 
1498438439 104   1 
1498438439 105   -1 
1498438439 106   1 
1498438439 107   -1 
1498438439 108   1 
1498438439 109   1 
1498438439 110   -1 
1498438439 111   1 
1498438439 112   0 
1498438439 113   0 
1498438439 114   0 
1498438439 115   0 
1498438439 116   0 
1498438439 117   0 
1498438439 118   0 
1498438439 119   0 
1498438439 120   0 
