1498468376 1   1 
1498468376 2   -1 
1498468376 3   1 
1498468376 4   -1 
1498468376 5   -1 
1498468376 6   1 
1498468376 7   -1 
1498468376 8   1 
1498468376 9   -1 
1498468376 10   1 
1498468376 11   -1 
1498468376 12   1 
1498468376 13   1 
1498468376 14   -1 
1498468376 15   1 
1498468376 16   -1 
1498468376 17   -1 
1498468376 18   1 
1498468376 19   -1 
1498468376 20   1 
1498468376 21   1 
1498468376 22   -1 
1498468376 23   1 
1498468376 24   -1 
1498468376 25   1 
1498468376 26   -1 
1498468376 27   1 
1498468376 28   -1 
1498468376 29   -1 
1498468376 30   1 
1498468376 31   -1 
1498468376 32   1 
1498468376 33   -1 
1498468376 34   1 
1498468376 35   -1 
1498468376 36   1 
1498468376 37   1 
1498468376 38   -1 
1498468376 39   1 
1498468376 40   -1 
1498468376 41   -1 
1498468376 42   1 
1498468376 43   -1 
1498468376 44   1 
1498468376 45   1 
1498468376 46   -1 
1498468376 47   1 
1498468376 48   -1 
1498468376 49   1 
1498468376 50   -1 
1498468376 51   1 
1498468376 52   -1 
1498468376 53   -1 
1498468376 54   1 
1498468376 55   -1 
1498468376 56   1 
1498468376 57   -1 
1498468376 58   1 
1498468376 59   -1 
1498468376 60   1 
1498468376 61   1 
1498468376 62   -1 
1498468376 63   1 
1498468376 64   -1 
1498468376 65   -1 
1498468376 66   1 
1498468376 67   -1 
1498468376 68   1 
1498468376 69   1 
1498468376 70   -1 
1498468376 71   1 
1498468376 72   -1 
1498468376 73   1 
1498468376 74   -1 
1498468376 75   1 
1498468376 76   -1 
1498468376 77   -1 
1498468376 78   1 
1498468376 79   -1 
1498468376 80   1 
1498468376 81   -1 
1498468376 82   1 
1498468376 83   -1 
1498468376 84   1 
1498468376 85   1 
1498468376 86   -1 
1498468376 87   1 
1498468376 88   -1 
1498468376 89   -1 
1498468376 90   1 
1498468376 91   -1 
1498468376 92   1 
1498468376 93   1 
1498468376 94   -1 
1498468376 95   1 
1498468376 96   -1 
1498468376 97   1 
1498468376 98   -1 
1498468376 99   1 
1498468376 100   -1 
1498468376 101   -1 
1498468376 102   1 
1498468376 103   -1 
1498468376 104   1 
1498468376 105   -1 
1498468376 106   1 
1498468376 107   -1 
1498468376 108   1 
1498468376 109   1 
1498468376 110   -1 
1498468376 111   1 
1498468376 112   0 
1498468376 113   0 
1498468376 114   0 
1498468376 115   0 
1498468376 116   0 
1498468376 117   0 
1498468376 118   0 
1498468376 119   0 
1498468376 120   0 
