1498317336 1   1 
1498317336 2   1 
1498317336 3   -1 
1498317336 4   -1 
1498317336 5   1 
1498317336 6   1 
1498317336 7   -1 
1498317336 8   -1 
1498317336 9   1 
1498317336 10   1 
1498317336 11   -1 
1498317336 12   -1 
1498317336 13   1 
1498317336 14   1 
1498317336 15   -1 
1498317336 16   -1 
1498317336 17   1 
1498317336 18   1 
1498317336 19   -1 
1498317336 20   -1 
1498317336 21   1 
1498317336 22   1 
1498317336 23   -1 
1498317336 24   -1 
1498317336 25   1 
1498317336 26   1 
1498317336 27   -1 
1498317336 28   -1 
1498317336 29   1 
1498317336 30   1 
1498317336 31   -1 
1498317336 32   -1 
1498317336 33   1 
1498317336 34   1 
1498317336 35   -1 
1498317336 36   -1 
1498317336 37   1 
1498317336 38   1 
1498317336 39   -1 
1498317336 40   -1 
1498317336 41   1 
1498317336 42   1 
1498317336 43   -1 
1498317336 44   -1 
1498317336 45   1 
1498317336 46   1 
1498317336 47   -1 
1498317336 48   -1 
1498317336 49   1 
1498317336 50   1 
1498317336 51   -1 
1498317336 52   -1 
1498317336 53   1 
1498317336 54   1 
1498317336 55   -1 
1498317336 56   -1 
1498317336 57   1 
1498317336 58   1 
1498317336 59   -1 
1498317336 60   -1 
1498317336 61   1 
1498317336 62   1 
1498317336 63   -1 
1498317336 64   -1 
1498317336 65   1 
1498317336 66   1 
1498317336 67   -1 
1498317336 68   -1 
1498317336 69   1 
1498317336 70   1 
1498317336 71   -1 
1498317336 72   -1 
1498317336 73   1 
1498317336 74   1 
1498317336 75   -1 
1498317336 76   -1 
1498317336 77   1 
1498317336 78   1 
1498317336 79   -1 
1498317336 80   -1 
1498317336 81   1 
1498317336 82   1 
1498317336 83   -1 
1498317336 84   -1 
1498317336 85   1 
1498317336 86   1 
1498317336 87   -1 
1498317336 88   -1 
1498317336 89   1 
1498317336 90   1 
1498317336 91   -1 
1498317336 92   -1 
1498317336 93   1 
1498317336 94   1 
1498317336 95   -1 
1498317336 96   -1 
1498317336 97   1 
1498317336 98   1 
1498317336 99   -1 
1498317336 100   -1 
1498317336 101   1 
1498317336 102   1 
1498317336 103   -1 
1498317336 104   -1 
1498317336 105   1 
1498317336 106   1 
1498317336 107   -1 
1498317336 108   -1 
1498317336 109   1 
1498317336 110   1 
1498317336 111   -1 
1498317336 112   0 
1498317336 113   0 
1498317336 114   0 
1498317336 115   0 
1498317336 116   0 
1498317336 117   0 
1498317336 118   0 
1498317336 119   0 
1498317336 120   0 
