1498520538 1   1 
1498520538 2   -1 
1498520538 3   1 
1498520538 4   -1 
1498520538 5   -1 
1498520538 6   1 
1498520538 7   -1 
1498520538 8   1 
1498520538 9   -1 
1498520538 10   1 
1498520538 11   -1 
1498520538 12   1 
1498520538 13   1 
1498520538 14   -1 
1498520538 15   1 
1498520538 16   -1 
1498520538 17   -1 
1498520538 18   1 
1498520538 19   -1 
1498520538 20   1 
1498520538 21   1 
1498520538 22   -1 
1498520538 23   1 
1498520538 24   -1 
1498520538 25   1 
1498520538 26   -1 
1498520538 27   1 
1498520538 28   -1 
1498520538 29   -1 
1498520538 30   1 
1498520538 31   -1 
1498520538 32   1 
1498520538 33   -1 
1498520538 34   1 
1498520538 35   -1 
1498520538 36   1 
1498520538 37   1 
1498520538 38   -1 
1498520538 39   1 
1498520538 40   -1 
1498520538 41   -1 
1498520538 42   1 
1498520538 43   -1 
1498520538 44   1 
1498520538 45   1 
1498520538 46   -1 
1498520538 47   1 
1498520538 48   -1 
1498520538 49   1 
1498520538 50   -1 
1498520538 51   1 
1498520538 52   -1 
1498520538 53   -1 
1498520538 54   1 
1498520538 55   -1 
1498520538 56   1 
1498520538 57   -1 
1498520538 58   1 
1498520538 59   -1 
1498520538 60   1 
1498520538 61   1 
1498520538 62   -1 
1498520538 63   1 
1498520538 64   -1 
1498520538 65   -1 
1498520538 66   1 
1498520538 67   -1 
1498520538 68   1 
1498520538 69   1 
1498520538 70   -1 
1498520538 71   1 
1498520538 72   -1 
1498520538 73   1 
1498520538 74   -1 
1498520538 75   1 
1498520538 76   -1 
1498520538 77   -1 
1498520538 78   1 
1498520538 79   -1 
1498520538 80   1 
1498520538 81   -1 
1498520538 82   1 
1498520538 83   -1 
1498520538 84   1 
1498520538 85   1 
1498520538 86   -1 
1498520538 87   1 
1498520538 88   -1 
1498520538 89   -1 
1498520538 90   1 
1498520538 91   -1 
1498520538 92   1 
1498520538 93   1 
1498520538 94   -1 
1498520538 95   1 
1498520538 96   -1 
1498520538 97   1 
1498520538 98   -1 
1498520538 99   1 
1498520538 100   -1 
1498520538 101   -1 
1498520538 102   1 
1498520538 103   -1 
1498520538 104   1 
1498520538 105   -1 
1498520538 106   1 
1498520538 107   -1 
1498520538 108   1 
1498520538 109   1 
1498520538 110   -1 
1498520538 111   1 
1498520538 112   0 
1498520538 113   0 
1498520538 114   0 
1498520538 115   0 
1498520538 116   0 
1498520538 117   0 
1498520538 118   0 
1498520538 119   0 
1498520538 120   0 
