1498393345 1   1 
1498393345 2   -1 
1498393345 3   1 
1498393345 4   -1 
1498393345 5   -1 
1498393345 6   1 
1498393345 7   -1 
1498393345 8   1 
1498393345 9   -1 
1498393345 10   1 
1498393345 11   -1 
1498393345 12   1 
1498393345 13   1 
1498393345 14   -1 
1498393345 15   1 
1498393345 16   -1 
1498393345 17   -1 
1498393345 18   1 
1498393345 19   -1 
1498393345 20   1 
1498393345 21   1 
1498393345 22   -1 
1498393345 23   1 
1498393345 24   -1 
1498393345 25   1 
1498393345 26   -1 
1498393345 27   1 
1498393345 28   -1 
1498393345 29   -1 
1498393345 30   1 
1498393345 31   -1 
1498393345 32   1 
1498393345 33   -1 
1498393345 34   1 
1498393345 35   -1 
1498393345 36   1 
1498393345 37   1 
1498393345 38   -1 
1498393345 39   1 
1498393345 40   -1 
1498393345 41   -1 
1498393345 42   1 
1498393345 43   -1 
1498393345 44   1 
1498393345 45   1 
1498393345 46   -1 
1498393345 47   1 
1498393345 48   -1 
1498393345 49   1 
1498393345 50   -1 
1498393345 51   1 
1498393345 52   -1 
1498393345 53   -1 
1498393345 54   1 
1498393345 55   -1 
1498393345 56   1 
1498393345 57   -1 
1498393345 58   1 
1498393345 59   -1 
1498393345 60   1 
1498393345 61   1 
1498393345 62   -1 
1498393345 63   1 
1498393345 64   -1 
1498393345 65   -1 
1498393345 66   1 
1498393345 67   -1 
1498393345 68   1 
1498393345 69   1 
1498393345 70   -1 
1498393345 71   1 
1498393345 72   -1 
1498393345 73   1 
1498393345 74   -1 
1498393345 75   1 
1498393345 76   -1 
1498393345 77   -1 
1498393345 78   1 
1498393345 79   -1 
1498393345 80   1 
1498393345 81   -1 
1498393345 82   1 
1498393345 83   -1 
1498393345 84   1 
1498393345 85   1 
1498393345 86   -1 
1498393345 87   1 
1498393345 88   -1 
1498393345 89   -1 
1498393345 90   1 
1498393345 91   -1 
1498393345 92   1 
1498393345 93   1 
1498393345 94   -1 
1498393345 95   1 
1498393345 96   -1 
1498393345 97   1 
1498393345 98   -1 
1498393345 99   1 
1498393345 100   -1 
1498393345 101   -1 
1498393345 102   1 
1498393345 103   -1 
1498393345 104   1 
1498393345 105   -1 
1498393345 106   1 
1498393345 107   -1 
1498393345 108   1 
1498393345 109   1 
1498393345 110   -1 
1498393345 111   1 
1498393345 112   0 
1498393345 113   0 
1498393345 114   0 
1498393345 115   0 
1498393345 116   0 
1498393345 117   0 
1498393345 118   0 
1498393345 119   0 
1498393345 120   0 
